date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:08:54	24/24	---M--	200	added ('OK')	text/plain	date:Tue,%2019%20Dec%202023%2014:44:37%20GMT	https://platform.rethasoft.com/robots.txt		(from )
15:08:54	124865/124865	---MCZ	200	added ('OK')	text/html	date:Tue,%2027%20Feb%202024%2014:08:52%20GMT	https://platform.rethasoft.com/	C:/Mijn%20Web%20paginas/Home%20Control/platform.rethasoft.com/index.html	(from )
15:08:55	2921/2921	---MCZ	200	added ('OK')	image/png	date:Thu,%2028%20Dec%202023%2021:14:38%20GMT	https://platform.rethasoft.com/assets/img/favicon.png	C:/Mijn%20Web%20paginas/Home%20Control/platform.rethasoft.com/assets/img/favicon.png	(from https://platform.rethasoft.com/)
15:08:55	163873/163873	---MCZ	200	added ('OK')	text/css	date:Thu,%2028%20Dec%202023%2021:14:38%20GMT	https://platform.rethasoft.com/assets/css/bootstrap.min.css	C:/Mijn%20Web%20paginas/Home%20Control/platform.rethasoft.com/assets/css/bootstrap.min.css	(from https://platform.rethasoft.com/)
15:08:55	3398/3398	---MCZ	200	added ('OK')	text/css	date:Thu,%2028%20Dec%202023%2021:14:38%20GMT	https://platform.rethasoft.com/assets/css/owl.carousel.min.css	C:/Mijn%20Web%20paginas/Home%20Control/platform.rethasoft.com/assets/css/owl.carousel.min.css	(from https://platform.rethasoft.com/)
15:08:55	1013/1013	---MCZ	200	added ('OK')	text/css	date:Thu,%2028%20Dec%202023%2021:14:38%20GMT	https://platform.rethasoft.com/assets/css/owl.theme.default.min.css	C:/Mijn%20Web%20paginas/Home%20Control/platform.rethasoft.com/assets/css/owl.theme.default.min.css	(from https://platform.rethasoft.com/)
15:08:55	1776/1776	---MCZ	200	added ('OK')	text/css	date:Thu,%2028%20Dec%202023%2021:14:38%20GMT	https://platform.rethasoft.com/assets/css/slick.css	C:/Mijn%20Web%20paginas/Home%20Control/platform.rethasoft.com/assets/css/slick.css	(from https://platform.rethasoft.com/)
15:08:56	124583/124583	---MCZ	200	added ('OK')	text/css	date:Thu,%2028%20Dec%202023%2021:14:38%20GMT	https://platform.rethasoft.com/assets/css/fontawesome.min.css	C:/Mijn%20Web%20paginas/Home%20Control/platform.rethasoft.com/assets/css/fontawesome.min.css	(from https://platform.rethasoft.com/)
15:08:56	3403/3403	---MCZ	200	added ('OK')	text/css	date:Thu,%2028%20Dec%202023%2021:14:38%20GMT	https://platform.rethasoft.com/assets/css/slick-theme.css	C:/Mijn%20Web%20paginas/Home%20Control/platform.rethasoft.com/assets/css/slick-theme.css	(from https://platform.rethasoft.com/)
15:08:56	12795/12795	---MCZ	200	added ('OK')	text/css	date:Thu,%2028%20Dec%202023%2021:14:38%20GMT	https://platform.rethasoft.com/assets/css/jquery.fancybox.min.css	C:/Mijn%20Web%20paginas/Home%20Control/platform.rethasoft.com/assets/css/jquery.fancybox.min.css	(from https://platform.rethasoft.com/)
15:08:56	79312/79312	---MCZ	200	added ('OK')	text/css	date:Sun,%2025%20Feb%202024%2000:01:49%20GMT	https://platform.rethasoft.com/assets/css/style.css?v=1709042932	C:/Mijn%20Web%20paginas/Home%20Control/platform.rethasoft.com/assets/css/style088a.css	(from https://platform.rethasoft.com/)
